dinosaurio,tokens
angaturama,an gat urama </W>
angloposeidon,an g lopo sei don </W>
angolatitan,an go latitan </W>
angulomastacator,an gu lo ma sta cator </W>
aniksosaurus,ani k so sauru s </W>
animantarx,ani man tar x </W>
ankistrodon,an kistro don </W>
ankylosaurus,an k y lo sauru s </W>
anodontosaurus,ano don to sauru s </W>
anoplosaurus,anoplo sauru s </W>
anserimimus,an seri mi mu s </W>
antarctopelta,an tar c topelta </W>
antarctosaurus,an tar c to sauru s </W>
antetonitrus,an te toni t ru s </W>
anthodon,an tho don </W>
antrodemus,an tro de mu s </W>
anzu,an zu </W>
aoniraptor,a oni ra p tor </W>
aorun,a orun </W>
apatodon,a pato don </W>
apatoraptor,a patora p tor </W>
apatosaurus,a pato sauru s </W>
appalachiosaurus,a p pala chi o sauru s </W>
aquilops,a qu ilop s </W>
aragosaurus,arago sauru s </W>
aralosaurus,aralo sauru s </W>
araucanoraptor,arau canora p tor </W>
archaeoceratops,archaeo ceratop s </W>
archaeodontosaurus,archaeo don to sauru s </W>
archaeopteryx,archaeop ter y x </W>
archaeoraptor,archaeora p tor </W>
archaeornis,archaeornis </W>
archaeornithoides,archaeornitho i de s </W>
archaeornithomimus,archaeornitho mi mu s </W>
arcovenator,ar co venator </W>
arctosaurus,ar c to sauru s </W>
arcusaurus,ar c u sauru s </W>
arenysaurus,aren y sauru s </W>
argentinosaurus,ar gen tino sauru s </W>
argyrosaurus,ar g y ro sauru s </W>
aristosaurus,aristo sauru s </W>
aristosuchus,aristo su chu s </W>
arizonasaurus,ari z ona sauru s </W>
arkansaurus,ar kan sauru s </W>
arkharavia,ar k hara via </W>
arrhinoceratops,ar r hino ceratop s </W>
arstanosaurus,ar stano sauru s </W>
asiaceratops,a sia ceratop s </W>
asiamericana,a siameri cana </W>
asiatosaurus,a siato sauru s </W>
astrodon,a stro don </W>
astrodonius,a stro doni u s </W>
astrodontaurus,a stro don tauru s </W>
astrophocaudia,a stropho cau dia </W>
asylosaurus,a sy lo sauru s </W>
atacamatitan,ata camatitan </W>
atlantosaurus,at lan to sauru s </W>
atlasaurus,at la sauru s </W>
atlascopcosaurus,at la s cop co sauru s </W>
atrociraptor,atro ci ra p tor </W>
atsinganosaurus,at sin gano sauru s </W>
aublysodon,au b ly so don </W>
aucasaurus,au ca sauru s </W>
augustia,augu stia </W>
augustynolophus,augu sty no lophu s </W>
auroraceratops,aurora ceratop s </W>
aurornis,aurornis </W>
australodocus,au stralo do c u s </W>
australovenator,au stralo venator </W>
austrocheirus,au stro chei ru s </W>
austroposeidon,au stropo sei don </W>
austroraptor,au strora p tor </W>
austrosaurus,au stro sauru s </W>
avaceratops,a va ceratop s </W>
avalonia,a valonia </W>
avalonianus,a valonian u s </W>
aviatyrannis,a viatyran nis </W>
avimimus,a vi mi mu s </W>
avisaurus,a visauru s </W>
avipes,a vi pe s </W>
azendohsaurus,a z en do h sauru s </W>
bactrosaurus,ba c tro sauru s </W>
bagaceratops,baga ceratop s </W>
bagaraatan,bagara atan </W>
bahariasaurus,ba haria sauru s </W>
bainoceratops,ba ino ceratop s </W>
bakesaurus,ba ke sauru s </W>
balaur,balaur </W>
balochisaurus,balo chisauru s </W>
bambiraptor,bam bi ra p tor </W>
banji,ban ji </W>
baotianmansaurus,ba o tian man sauru s </W>
barapasaurus,bara pa sauru s </W>
barilium,barili u m </W>
barosaurus,baro sauru s </W>
barrosasaurus,bar ro sa sauru s </W>
barsboldia,bar s bo l dia </W>
baryonyx,bar yon y x </W>
bashunosaurus,ba shuno sauru s </W>
basutodon,ba su to don </W>
bathygnathus,bathy gnathu s </W>
batyrosaurus,baty ro sauru s </W>
baurutitan,bauru titan </W>
bayosaurus,ba yo sauru s </W>
becklespinax,be c k le spina x </W>
beelemodon,be ele mo don </W>
beibeilong,bei beilong </W>
beipiaognathus,bei pia o gnathu s </W>
beipiaosaurus,bei pia o sauru s </W>
beishanlong,beishan long </W>
bellusaurus,bel lu sauru s </W>
belodon,belo don </W>
berberosaurus,ber bero sauru s </W>
betasuchus,be ta su chu s </W>
bicentenaria,bi cen tenaria </W>
bienosaurus,bi eno sauru s </W>
bihariosaurus,bi hario sauru s </W>
bilbeyhallorum,bil be y hal loru m </W>
bissektipelta,bis se k ti pelta </W>
bistahieversor,bista hi e ver sor </W>
blancocerosaurus,b lan co cero sauru s </W>
blasisaurus,b la sisauru s </W>
blikanasaurus,b li kana sauru s </W>
bolong,bo long </W>
bonapartenykus,bona par ten y ku s </W>
bonapartesaurus,bona par te sauru s </W>
bonatitan,bonatitan </W>
bonitasaura,boni ta saura </W>
borealopelta,bore alopelta </W>
borealosaurus,bore alo sauru s </W>
boreonykus,boreon y ku s </W>
borogovia,boro go via </W>
bothriospondylus,bo th rio spondy lu s </W>
brachiosaurus,bra chi o sauru s </W>
brachyceratops,brachy ceratop s </W>
brachylophosaurus,brachy lopho sauru s </W>
brachypodosaurus,brachypo do sauru s </W>
brachyrophus,brachy rophu s </W>
brachytaenius,brachy taeni u s </W>
brachytrachelopan,brachy tra chelopan </W>
bradycneme,bra dy c neme </W>
brasileosaurus,bra sileo sauru s </W>
brasilotitan,bra silo titan </W>
bravoceratops,bra vo ceratop s </W>
breviceratops,b re vi ceratop s </W>
brohisaurus,b ro hisauru s </W>
brontomerus,bron to meru s </W>
brontoraptor,bron tora p tor </W>
brontosaurus,bron to sauru s </W>
bruhathkayosaurus,b ru hath ka yo sauru s </W>
bugenasaura,bugena saura </W>
buitreraptor,bu i t rera p tor </W>
burianosaurus,buriano sauru s </W>
buriolestes,burio le ste s </W>
byranjaffia,by ran ja f f ia </W>
byronosaurus,by rono sauru s </W>
caenagnathasia,caenagnatha sia </W>
caenagnathus,caenagnathu s </W>
calamosaurus,calamo sauru s </W>
calamospondylus,calamo spondy lu s </W>
calamospondylus,calamo spondy lu s </W>
callovosaurus,cal lo vo sauru s </W>
camarasaurus,camara sauru s </W>
camarillasaurus,camaril la sauru s </W>
camelotia,camelo tia </W>
camposaurus,campo sauru s </W>
camptonotus,camp tono t u s </W>
camptosaurus,camp to sauru s </W>
campylodon,campy lo don </W>
campylodoniscus,campy lo donis c u s </W>
canardia,canar dia </W>
capitalsaurus,ca pi tal sauru s </W>
carcharodontosaurus,carcharo don to sauru s </W>
cardiodon,car di o don </W>
carnotaurus,car no tauru s </W>
caseosaurus,ca seo sauru s </W>
cathartesaura,cathar te saura </W>
cathetosaurus,cathe to sauru s </W>
caudipteryx,cau di p ter y x </W>
caudocoelus,cau do co elu s </W>
caulodon,cau lo don </W>
cedarosaurus,cedaro sauru s </W>
cedarpelta,cedar pelta </W>
cedrorestes,cedrore ste s </W>
centemodon,cen te mo don </W>
centrosaurus,cen tro sauru s </W>
cerasinops,cera sinop s </W>
ceratonykus,ceraton y ku s </W>
ceratops,ceratop s </W>
ceratosaurus,cerato sauru s </W>
cetiosauriscus,ce ti o sauris c u s </W>
cetiosaurus,ce ti o sauru s </W>
changchunsaurus,chang chun sauru s </W>
changdusaurus,chang d u sauru s </W>
changyuraptor,chang yura p tor </W>
chaoyangsaurus,cha o yang sauru s </W>
charonosaurus,charono sauru s </W>
chasmosaurus,cha s mo sauru s </W>
chassternbergia,cha s ster n ber gia </W>
chebsaurus,che b sauru s </W>
chenanisaurus,chenanisauru s </W>
cheneosaurus,cheneo sauru s </W>
chialingosaurus,chialin go sauru s </W>
chiayusaurus,chia yu sauru s </W>
chienkosaurus,chi en ko sauru s </W>
chihuahuasaurus,chi hua hua sauru s </W>
chilantaisaurus,chilan ta isauru s </W>
chilesaurus,chile sauru s </W>
chindesaurus,chin de sauru s </W>
chingkankousaurus,chin g kan ko u sauru s </W>
chinshakiangosaurus,chin sha kian go sauru s </W>
chirostenotes,chi ro steno te s </W>
choconsaurus,cho con sauru s </W>
chondrosteosaurus,chon dro steo sauru s </W>
chromogisaurus,ch ro mo gisauru s </W>
chuandongocoelurus,chuan dongo co eluru s </W>
chuanjiesaurus,chuan ji e sauru s </W>
chuanqilong,chuan q ilong </W>
chubutisaurus,chu bu tisauru s </W>
chungkingosaurus,chun g kin go sauru s </W>
chuxiongosaurus,chu xi ongo sauru s </W>
cinizasaurus,cini za sauru s </W>
cionodon,ci ono don </W>
citipati,ci ti pati </W>
cladeiodon,cla dei o don </W>
claorhynchus,cla or hy n chu s </W>
claosaurus,cla o sauru s </W>
clarencea,claren ce a </W>
clasmodosaurus,cla s mo do sauru s </W>
clepsysaurus,c lep sy sauru s </W>
coahuilaceratops,co a hu ila ceratop s </W>
coelophysis,co elophy sis </W>
coelosaurus,co elo sauru s </W>
coeluroides,co eluro i de s </W>
coelurosauravus,co eluro saura vu s </W>
coelurus,co eluru s </W>
colepiocephale,co lepi o cephale </W>
coloradia,colora dia </W>
coloradisaurus,colora disauru s </W>
colossosaurus,colos so sauru s </W>
comahuesaurus,co ma hue sauru s </W>
comanchesaurus,co man che sauru s </W>
compsognathus,compso gnathu s </W>
compsosuchus,compso su chu s </W>
concavenator,con ca venator </W>
conchoraptor,con chora p tor </W>
condorraptor,con dor ra p tor </W>
coronosaurus,corono sauru s </W>
corythoraptor,cor y thora p tor </W>
corythosaurus,cor y tho sauru s </W>
craspedodon,c ra spedo don </W>
crataeomus,c rataeo mu s </W>
craterosaurus,c ratero sauru s </W>
creosaurus,c reo sauru s </W>
crichtonpelta,cri ch ton pelta </W>
crichtonsaurus,cri ch ton sauru s </W>
cristatusaurus,cristat u sauru s </W>
crosbysaurus,cro s by sauru s </W>
cruxicheiros,c ru xi chei ro s </W>
cryolophosaurus,c r yo lopho sauru s </W>
cryptodraco,cryp to draco </W>
cryptoraptor,cryp tora p tor </W>
cryptosaurus,cryp to sauru s </W>
cryptovolans,cryp to vo lan s </W>
cumnoria,c u m noria </W>
daanosaurus,da ano sauru s </W>
dacentrurus,da cen t ruru s </W>
dachongosaurus,da chongo sauru s </W>
daemonosaurus,dae mono sauru s </W>
dahalokely,da halo kely </W>
dakosaurus,da ko sauru s </W>
dakotadon,da ko ta don </W>
dakotaraptor,da ko tara p tor </W>
daliansaurus,dalian sauru s </W>
damalasaurus,damala sauru s </W>
dandakosaurus,dan da ko sauru s </W>
danubiosaurus,dan u bi o sauru s </W>
daptosaurus,da p to sauru s </W>
darwinsaurus,dar w in sauru s </W>
dashanpusaurus,da shan pu sauru s </W>
daspletosaurus,da sp le to sauru s </W>
dasygnathoides,da sy gnatho i de s </W>
dasygnathus,da sy gnathu s </W>
datanglong,datan g long </W>
datonglong,datong long </W>
datousaurus,dato u sauru s </W>
daurosaurus,dauro sauru s </W>
daxiatitan,da xiatitan </W>
deinocheirus,deino chei ru s </W>
deinodon,deino don </W>
deinonychus,deinon y chu s </W>
delapparentia,dela p paren tia </W>
deltadromeus,delta dro meu s </W>
demandasaurus,de man da sauru s </W>
denversaurus,den ver sauru s </W>
deuterosaurus,deu tero sauru s </W>
diabloceratops,diab lo ceratop s </W>
diamantinasaurus,diaman tina sauru s </W>
dianchungosaurus,dian chun go sauru s </W>
diceratops,di ceratop s </W>
diceratusdiclonius,di cerat u s di c loni u s </W>
dicraeosaurus,di c raeo sauru s </W>
didanodondilong,di dano don dilong </W>
dilophosaurus,dilopho sauru s </W>
diluvicursor,dilu vi cur sor </W>
dimodosaurus,di mo do sauru s </W>
dinheirosaurus,din hei ro sauru s </W>
dinodocus,dino do c u s </W>
dinotyrannus,dino tyran n u s </W>
diplodocus,di plo do c u s </W>
diplotomodon,di plo to mo don </W>
diracodon,di ra co don </W>
dolichosuchus,do li cho su chu s </W>
dollodon,do l lo don </W>
domeykosaurus,do me y ko sauru s </W>
dongbeititan,dong bei titan </W>
dongyangopelta,dong yangopelta </W>
dongyangosaurus,dong yango sauru s </W>
doratodon,dorato don </W>
doryphorosaurus,doryphoro sauru s </W>
draconyx,dracon y x </W>
dracopelta,dracopelta </W>
dracoraptor,dracora p tor </W>
dracorex,dracore x </W>
dracovenator,draco venator </W>
dravidosaurus,dra vi do sauru s </W>
dreadnoughtus,d re a d no ug h t u s </W>
drinker,d rin ker </W>
dromaeosauroides,dro maeo sauro i de s </W>
dromaeosaurus,dro maeo sauru s </W>
dromiceiomimus,dro mi cei o mi mu s </W>
dromicosaurus,dro mi co sauru s </W>
drusilasaura,d ru sila saura </W>
dryosaurus,d r yo sauru s </W>
dryptosauroides,d ryp to sauro i de s </W>
dryptosaurus,d ryp to sauru s </W>
dubreuillosaurus,d u b reu il lo sauru s </W>
duriatitan,d uriatitan </W>
duriavenator,d uria venator </W>
dynamosaurus,dy namo sauru s </W>
dyoplosaurus,dyoplo sauru s </W>
dysalotosaurus,dy salo to sauru s </W>
dysganus,dy s gan u s </W>
dyslocosaurus,dy s lo co sauru s </W>
dystrophaeus,dy strophaeu s </W>
dystylosaurus,dy sty lo sauru s </W>
echinodon,e chino don </W>
edmarka,ed mar ka </W>
edmontonia,ed mon tonia </W>
edmontosaurus,ed mon to sauru s </W>
efraasia,e f ra a sia </W>
einiosaurus,eini o sauru s </W>
ekrixinatosaurus,e kri xinato sauru s </W>
elachistosuchus,ela chisto su chu s </W>
elaltitan,elal titan </W>
elaphrosaurus,ela ph ro sauru s </W>
elmisaurus,el misauru s </W>
elopteryx,elop ter y x </W>
elosaurus,elo sauru s </W>
elrhazosaurus,el r ha z o sauru s </W>
elvisaurus,el visauru s </W>
emausaurus,e mau sauru s </W>
embasaurus,e m ba sauru s </W>
enigmosaurus,eni g mo sauru s </W>
eoabelisaurus,eo abelisauru s </W>
eobrontosaurus,eo bron to sauru s </W>
eocarcharia,eo carcharia </W>
eoceratops,eo ceratop s </W>
eocursor,eo cur sor </W>
eodromaeus,eo dro maeu s </W>
eohadrosaurus,eo hadro sauru s </W>
eolambia,eo lam bia </W>
eomamenchisaurus,eo mamen chisauru s </W>
eoplophysis,eoplophy sis </W>
eoraptor,eora p tor </W>
eosinopteryx,eo sinop ter y x </W>
eotrachodon,eo tra cho don </W>
eotriceratops,eo tri ceratop s </W>
eotyrannus,eo tyran n u s </W>
eousdryosaurus,eo u s d r yo sauru s </W>
epachthosaurus,e pa ch tho sauru s </W>
epanterias,e pan teria s </W>
ephoenosaurus,e pho eno sauru s </W>
epicampodon,epi campo don </W>
epichirostenotes,epi chi ro steno te s </W>
epidendrosaurus,epi den dro sauru s </W>
epidexipteryx,epi de xi p ter y x </W>
equijubus,e qu i ju bu s </W>
erectopus,ere c topu s </W>
erketu,er ke t u </W>
erliansaurus,er lian sauru s </W>
erlikosaurus,er li ko sauru s </W>
eshanosaurus,e shano sauru s </W>
euacanthus,eu a can thu s </W>
eucamerotus,eu camero t u s </W>
eucentrosaurus,eu cen tro sauru s </W>
eucercosaurus,eu cer co sauru s </W>
eucnemesaurus,eu c neme sauru s </W>
eucoelophysis,eu co elophy sis </W>
eugongbusaurus,eugong bu sauru s </W>
euhelopus,eu helopu s </W>
euoplocephalus,eu oplo ce phalu s </W>
eupodosaurus,eu po do sauru s </W>
eureodon,eureo don </W>
eurolimnornis,euro lim nornis </W>
euronychodon,euron y cho don </W>
europasaurus,europa sauru s </W>
europatitan,europatitan </W>
europelta,europelta </W>
euskelosaurus,eu s kelo sauru s </W>
eustreptospondylus,eu st re p to spondy lu s </W>
fabrosaurus,f ab ro sauru s </W>
falcarius,f al cari u s </W>
fendusaurus,fen d u sauru s </W>
fenestrosaurus,fene stro sauru s </W>
ferganasaurus,fer gana sauru s </W>
ferganastegos,fer gana stego s </W>
ferganocephale,fer gano cephale </W>
foraminacephale,f oramina cephale </W>
fosterovenator,f o stero venator </W>
frenguellisaurus,f ren gu el lisauru s </W>
fruitadens,f ru i ta den s </W>
fukuiraptor,fukui ra p tor </W>
fukuisaurus,fukuisauru s </W>
fukuititan,fukui titan </W>
fukuivenator,fukui venator </W>
fulengia,fu len gia </W>
fulgurotherium,fu l guro theri u m </W>
fusinasus,fu sina su s </W>
fusuisaurus,fu su isauru s </W>
futabasaurus,futaba sauru s </W>
futalognkosaurus,futalo g n ko sauru s </W>
gadolosaurus,ga do lo sauru s </W>
galeamopus,gale amopu s </W>
galesaurus,gale sauru s </W>
gallimimus,gal limi mu s </W>
galtonia,gal tonia </W>
galveosaurus,gal veo sauru s </W>
galvesaurus,gal ve sauru s </W>
gannansaurus,gan nan sauru s </W>
gansutitan,gan su titan </W>
ganzhousaurus,gan zho u sauru s </W>
gargoyleosaurus,gar go y leo sauru s </W>
garudimimus,garu di mi mu s </W>
gasosaurus,ga so sauru s </W>
gasparinisaura,ga sparinisaura </W>
gastonia,ga stonia </W>
gavinosaurus,ga vino sauru s </W>
geminiraptor,ge mini ra p tor </W>
genusaurus,gen u sauru s </W>
genyodectes,gen yo de c te s </W>
geranosaurus,gerano sauru s </W>
gideonmantellia,gi deon mantel lia </W>
giganotosaurus,gigano to sauru s </W>
gigantoraptor,gigan tora p tor </W>
gigantosaurus,gigan to sauru s </W>
gigantosaurus,gigan to sauru s </W>
gigantoscelus,gigan to s celu s </W>
gigantspinosaurus,gigan t spino sauru s </W>
gilmoreosaurus,gil moreo sauru s </W>
ginnareemimus,gin nare e mi mu s </W>
giraffatitan,gi ra f f atitan </W>
glacialisaurus,g la cialisauru s </W>
glishades,g lisha de s </W>
glyptodontopelta,g lyp to don topelta </W>
skeleton,s kele ton </W>
gobiceratops,gobi ceratop s </W>
gobisaurus,gobisauru s </W>
gobititan,gobi titan </W>
gobivenator,gobi venator </W>
godzillasaurus,go d z il la sauru s </W>
gojirasaurus,go ji ra sauru s </W>
gondwanatitan,gon d wanatitan </W>
gongbusaurus,gong bu sauru s </W>
gongpoquansaurus,gong po quan sauru s </W>
gongxianosaurus,gong xiano sauru s </W>
gorgosaurus,gor go sauru s </W>
goyocephale,go yo cephale </W>
graciliceratops,gra cili ceratop s </W>
graciliraptor,gra cili ra p tor </W>
gracilisuchus,gra cilisu chu s </W>
gravitholus,gra vi tho lu s </W>
gresslyosaurus,g re s s lyo sauru s </W>
griphornis,g ri phornis </W>
griphosaurus,g ri pho sauru s </W>
gryphoceratops,g rypho ceratop s </W>
gryponyx,g rypon y x </W>
gryposaurus,g rypo sauru s </W>
gspsaurus,g sp sauru s </W>
guaibasaurus,gu a i ba sauru s </W>
gualicho,gu ali cho </W>
guanlong,guan long </W>
gwyneddosaurus,g w y ned do sauru s </W>
gyposaurus,g ypo sauru s </W>
hadrosauravus,hadro saura vu s </W>
hadrosaurus,hadro sauru s </W>
haestasaurus,hae sta sauru s </W>
hagryphus,hag ryphu s </W>
hallopus,hal lopu s </W>
halszkaraptor,hal sz kara p tor </W>
halticosaurus,hal ti co sauru s </W>
hanssuesia,han s su e sia </W>
hanwulosaurus,han wu lo sauru s </W>
haplocanthosaurus,haplo can tho sauru s </W>
haplocanthus,haplo can thu s </W>
haplocheirus,haplo chei ru s </W>
harpymimus,har py mi mu s </W>
haya,ha ya </W>
hecatasaurus,he cata sauru s </W>
heilongjiangosaurus,heilong jiango sauru s </W>
heishansaurus,heishan sauru s </W>
helioceratops,heli o ceratop s </W>
helopus,helopu s </W>
heptasteornis,he p ta steornis </W>
herbstosaurus,her b sto sauru s </W>
herrerasaurus,her rera sauru s </W>
hesperonychus,he speron y chu s </W>
hesperosaurus,he spero sauru s </W>
heterodontosaurus,he tero don to sauru s </W>
heterosaurus,he tero sauru s </W>
hexing,he xing </W>
hexinlusaurus,he xin lu sauru s </W>
heyuannia,he yuan nia </W>
hierosaurus,hi ero sauru s </W>
hippodraco,hi p po draco </W>
hironosaurus,hi rono sauru s </W>
hisanohamasaurus,hisano hama sauru s </W>
histriasaurus,histria sauru s </W>
homalocephale,ho malo cephale </W>
honghesaurus,hong he sauru s </W>
hongshanosaurus,hong shano sauru s </W>
hoplitosaurus,hop li to sauru s </W>
hoplosaurus,hoplo sauru s </W>
horshamosaurus,hor shamo sauru s </W>
hortalotarsus,hor talo tar su s </W>
huabeisaurus,huabeisauru s </W>
hualianceratops,hualian ceratop s </W>
huanansaurus,huanan sauru s </W>
huanghetitan,huan g he titan </W>
huangshanlong,huan g shan long </W>
huaxiagnathus,hua xiagnathu s </W>
huaxiaosaurus,hua xia o sauru s </W>
huaxiasaurus,hua xia sauru s </W>
huayangosaurus,hua yango sauru s </W>
hudiesaurus,hu di e sauru s </W>
huehuecanauhtlus,hue hue canau h t lu s </W>
hulsanpes,hu l san pe s </W>
hungarosaurus,hun garo sauru s </W>
huxleysaurus,hu x le y sauru s </W>
hylaeosaurus,hy laeo sauru s </W>
hylosaurushypacrosaurus,hy lo sauru shypa cro sauru s </W>
hypselorhachis,hyp selor ha chis </W>
hypselosaurus,hyp selo sauru s </W>
hypselospinus,hyp selo spin u s </W>
hypsibema,hyp si be ma </W>
hypsilophodon,hyp silopho don </W>
hypsirhophus,hyp si r hophu s </W>
habodcraniosaurus,habo d c rani o sauru s </W>
ichthyovenator,i ch thyo venator </W>
ignavusaurus,i gna vu sauru s </W>
iguanacolossus,i guana colos su s </W>
iguanodon,i guano don </W>
iguanoides,i guano i de s </W>
skeleton,s kele ton </W>
iguanosaurus,i guano sauru s </W>
iliosuchus,ili o su chu s </W>
ilokelesia,ilo kele sia </W>
incisivosaurus,in cisi vo sauru s </W>
indosaurus,in do sauru s </W>
indosuchus,in do su chu s </W>
ingenia,in genia </W>
inosaurus,ino sauru s </W>
irritator,i r ri tator </W>
isaberrysaura,isaber r y saura </W>
isanosaurus,isano sauru s </W>
ischioceratops,is chi o ceratop s </W>
ischisaurus,is chisauru s </W>
ischyrosaurus,is chy ro sauru s </W>
isisaurus,isisauru s </W>
issasaurus,is sa sauru s </W>
itemirus,i te mi ru s </W>
iuticosaurus,i u ti co sauru s </W>
jainosaurus,ja ino sauru s </W>
jaklapallisaurus,ja k la pal lisauru s </W>
janenschia,janen s chia </W>
jaxartosaurus,ja xar to sauru s </W>
jeholosaurus,j e ho lo sauru s </W>
jenghizkhan,j en g hi z k han </W>
jensenosaurus,j en seno sauru s </W>
jeyawati,j e ya wati </W>
jianchangosaurus,jian chango sauru s </W>
jiangjunmiaosaurus,jiang jun mia o sauru s </W>
jiangjunosaurus,jiang juno sauru s </W>
jiangshanosaurus,jiang shano sauru s </W>
jiangxisaurus,jiang xisauru s </W>
jianianhualong,jianian hualong </W>
jinfengopteryx,jin fen gop ter y x </W>
jingshanosaurus,jin g shano sauru s </W>
jintasaurus,jin ta sauru s </W>
jinzhousaurus,jin zho u sauru s </W>
jiutaisaurus,ji uta isauru s </W>
jobaria,j o baria </W>
jubbulpuria,ju b bu l puria </W>
judiceratops,ju di ceratop s </W>
jurapteryx,jura p ter y x </W>
jurassosaurus,jura s so sauru s </W>
juratyrant,juratyran t </W>
juravenator,jura venator </W>
kagasaurus,kaga sauru s </W>
kaijiangosaurus,ka i jiango sauru s </W>
kakuru,ka kuru </W>
kangnasaurus,kan gna sauru s </W>
karongasaurus,karonga sauru s </W>
katepensaurus,kate pen sauru s </W>
katsuyamasaurus,kat su yama sauru s </W>
kayentavenator,ka y en ta venator </W>
kazaklambia,ka za k lam bia </W>
kelmayisaurus,kel ma yisauru s </W>
kemkemiakentrosaurus,ke m ke mia ken tro sauru s </W>
kentrurosaurus,ken t ruro sauru s </W>
kerberosaurus,ker bero sauru s </W>
kentrosaurus,ken tro sauru s </W>
khaan,k ha an </W>
khetranisaurus,k he tranisauru s </W>
kileskus,kile s ku s </W>
kinnareemimus,kin nare e mi mu s </W>
kitadanisaurus,ki ta danisauru s </W>
kittysaurus,ki t ty sauru s </W>
klamelisauruskol,k lamelisauru s ko l </W>
koparion,koparion </W>
koreaceratops,kore a ceratop s </W>
koreanosaurus,kore ano sauru s </W>
koreanosaurus,kore ano sauru s </W>
koshisaurus,ko shisauru s </W>
kosmoceratops,ko s mo ceratop s </W>
kotasaurus,ko ta sauru s </W>
koutalisaurus,ko utalisauru s </W>
kritosaurus,kri to sauru s </W>
kryptops,k ryp top s </W>
krzyzanowskisaurus,k r z y zano w s kisauru s </W>
kukufeldia,ku ku f el dia </W>
kulceratops,ku l ceratop s </W>
kulindadromeus,ku lin da dro meu s </W>
kulindapteryx,ku lin da p ter y x </W>
kunbarrasaurus,kun bar ra sauru s </W>
kundurosaurus,kun d uro sauru s </W>
kunmingosaurus,kun min go sauru s </W>
kuszholia,ku szho lia </W>
labocania,labo cania </W>
labrosaurus,lab ro sauru s </W>
laelaps,laela p s </W>
laevisuchus,lae visu chu s </W>
lagerpeton,lager pe ton </W>
lagosuchus,lago su chu s </W>
laiyangosaurus,la i yango sauru s </W>
lamaceratops,lama ceratop s </W>
lambeosaurus,lam beo sauru s </W>
lametasaurus,lame ta sauru s </W>
lamplughsaura,lamp lug h saura </W>
lanasaurus,lana sauru s </W>
